date;positives;Average;daily_test;test_positives;Intensive_Care
24/02/2020;3;3;141;2.13;0
25/02/2020;0;1.5;0;NA;0
26/02/2020;0;1;15;0;0
27/02/2020;-1;0.5;0;-Inf;0
28/02/2020;9;2.2;71;12.68;0
29/02/2020;0;1.6;81;0;0
01/03/2020;38;9.2;54;NA;2
02/03/2020;2;9.6;72;2.78;2
03/03/2020;5;10.8;24;20.83;3
04/03/2020;26;14.2;85;30.59;13
05/03/2020;26;19.4;0;NA;17
06/03/2020;35;18.8;250;14;30
07/03/2020;64;31.2;253;25.3;38
08/03/2020;153;60.8;590;25.93;45
09/03/2020;-10;53.6;45;-22.22;50
10/03/2020;103;69;693;14.86;66
11/03/2020;48;71.6;57;NA;75
12/03/2020;79;74.6;448;17.63;97
13/03/2020;260;96;226;NA;135
14/03/2020;33;104.6;575;5.74;150
15/03/2020;238;131.6;695;34.24;171
16/03/2020;405;203;1213;33.39;186
17/03/2020;381;263.4;955;39.9;206
18/03/2020;444;300.2;973;45.63;227
19/03/2020;591;411.8;1337;44.2;257
20/03/2020;529;470;1122;47.15;280
21/03/2020;291;447.2;726;40.08;301
22/03/2020;668;504.6;2000;33.4;308
23/03/2020;441;504;859;NA;343
24/03/2020;654;516.6;1909;34.26;360
25/03/2020;509;512.6;1186;42.92;381
26/03/2020;510;556.4;1399;36.45;408
27/03/2020;558;534.4;1651;33.8;431
28/03/2020;579;562;1806;32.06;439
29/03/2020;535;538.2;2547;21.01;443
30/03/2020;506;537.6;1420;35.63;452
31/03/2020;589;553.4;2180;27.02;452
01/04/2020;494;540.6;2402;20.57;453
02/04/2020;558;536.4;2040;27.35;453
03/04/2020;543;538;2181;24.9;452
04/04/2020;813;599.4;2900;28.03;450
05/04/2020;653;612.2;1358;48.09;444
06/04/2020;562;625.8;2584;21.75;438
07/04/2020;419;598;2998;13.98;432
08/04/2020;540;597.4;4374;12.35;423
09/04/2020;639;562.6;4312;14.82;412
10/04/2020;490;530;4650;10.54;394
11/04/2020;996;616.8;5120;19.45;384
12/04/2020;652;663.4;3978;16.39;381
13/04/2020;474;650.2;2615;18.13;379
14/04/2020;556;633.6;2508;22.17;367
15/04/2020;539;643.4;3986;13.52;366
16/04/2020;879;620;5044;17.43;346
17/04/2020;695;628.6;6006;11.57;333
18/04/2020;661;666;5130;12.88;323
19/04/2020;593;673.4;4725;12.55;305
20/04/2020;292;624;3100;9.42;301
21/04/2020;606;569.4;5765;10.51;293
22/04/2020;784;587.2;6079;12.9;273
23/04/2020;401;535.2;6457;6.21;261
24/04/2020;682;553;7330;9.3;257
25/04/2020;604;615.4;5807;10.4;238
26/04/2020;394;573;4035;9.76;214
27/04/2020;278;471.8;4206;6.61;214
28/04/2020;352;462;5183;6.79;202
29/04/2020;411;407.8;6735;6.1;202
30/04/2020;428;372.6;5268;8.12;199
01/05/2020;395;372.8;6034;6.55;181
02/05/2020;495;416.2;5911;8.37;178
03/05/2020;251;396;3729;6.73;169
04/05/2020;192;352.2;3870;4.96;161
05/05/2020;152;297;5238;2.9;155
